日期,销售人员,销售车型,汽车类型,销售额,客户名称,客户电话,客户地址,客户银行账号
1/1/2024,李娜,星际旅者,SUV,360848.55,张建国,15194536131,黑龙江省太原市长寿北镇街n座 859501,BNEQ95956287979577
1/1/2024,张伟,星际旅者,两厢,368281.86,毕小红,15359684078,内蒙古自治区合肥市蓟州永安街J座 970308,FULW66157274313728
1/2/2024,王力宏,极速光年,三厢,252427.7,朱欣,15895496425,台湾省淑珍县合川马鞍山路B座 814727,NZKY68844013900715
1/2/2024,张伟,极速光年,三厢,467271.85,宋桂珍,15783381234,湖南省丽华市淄川邓路q座 218448,JYCJ72578766721630
1/3/2024,王力宏,星际旅者,两厢,399935.78,王瑜,15932225305,福建省明市崇文叶街v座 729117,QHUG88108780232338
1/5/2024,李娜,极速光年,三厢,426598.09,陈慧,13817814208,天津市桂荣市清河邓街T座 445373,IRVP13353009983181
1/5/2024,陈奕迅,星际旅者,SUV,482168.8,鲁鑫,15258886637,福建省桂花市山亭彭路B座 188723,MKWP78569158142962
1/6/2024,王力宏,极速光年,三厢,383683.05,李芳,15945900275,江西省淮安市东丽郑州街N座 498274,TPMA82753281904044
1/6/2024,张伟,星际旅者,SUV,495810.78,李杨,13490924596,吉林省呼和浩特县朝阳王路O座 598614,KFPT40872048967749
1/7/2024,张伟,未来风,两厢,220342.1,张红,18755066625,河北省凤兰县上街唐路B座 959730,GYNE39799727243880
1/7/2024,赵丽颖,极速光年,两厢,390964.89,贾红,15666270703,河北省凤英县萧山西宁街q座 140636,WSYL90581375510783
1/8/2024,李娜,星际旅者,两厢,212017.86,郭文,15265949639,宁夏回族自治区哈尔滨市江北鞠街u座 519121,TBBS95932518568088
1/8/2024,赵丽颖,速度霸王,SUV,253792.43,韦华,15285229268,西藏自治区桂英市大东张路N座 805165,CYCE28539451523032
1/10/2024,张伟,极速光年,两厢,233408.61,赵红梅,13279564550,湖南省建县蓟州李路p座 142287,ZDBB60796405977376
1/11/2024,李娜,未来风,两厢,497914.77,韩凯,18879082749,海南省阳市梁平董街w座 875941,XOQO94262824166984
1/11/2024,张伟,星际旅者,三厢,355181.72,霍浩,13522451857,新疆维吾尔自治区阜新市高坪程街Q座 879803,ZDBA70286650621100
1/12/2024,李娜,星际旅者,SUV,297492.13,成晨,15736092315,陕西省太原县清城南昌路U座 810239,GLKF34339384865174
1/13/2024,陈奕迅,极速光年,两厢,306393.15,邓建军,14566671451,甘肃省天津县西峰宁德路I座 277527,IHQI70860227754756
1/14/2024,王力宏,极速光年,三厢,276088.35,张玉,13357887113,山西省南京市牧野张街R座 851300,TMRL45386904167454
1/15/2024,陈奕迅,星际旅者,两厢,313496.83,何强,13575184671,北京市通辽市门头沟福州路i座 951372,YWHU97717282126254
1/17/2024,王力宏,星际旅者,SUV,427777.7,石秀梅,15881263810,河北省秀华县南溪澳门路z座 472641,GHVT77263382732708
1/22/2024,陈奕迅,星际旅者,SUV,218318.98,曾海燕,18730017604,江苏省云市南湖马鞍山路N座 429451,IBNT45430314243794
1/23/2024,赵丽颖,极速光年,三厢,483252.41,姜杰,13395697682,贵州省博县怀柔西宁街l座 462215,INIM63630000215037
1/23/2024,张伟,星际旅者,SUV,244123.72,廖志强,15978294296,山西省欣市东城王街U座 966789,JFQF59035613394070
1/24/2024,王力宏,未来风,三厢,213473.31,胡林,13899309147,四川省建军市沙市周街F座 942131,SZLA41261731196861
1/26/2024,张伟,速度霸王,SUV,490608.08,张洋,13037600713,天津市雷市上街郑州路i座 228991,WZUJ56816341940627
1/27/2024,陈奕迅,星际旅者,三厢,284585.65,吴红梅,15279285232,澳门特别行政区刚县牧野邯郸街p座 530987,QFZM52179646945662
1/28/2024,王力宏,星际旅者,两厢,235799.72,李文,14705374309,西藏自治区潮州县璧山林路I座 877847,TRZF68341674032783
1/28/2024,张伟,星际旅者,两厢,308205.68,冼婷,15255175715,河北省杨县房山哈尔滨街y座 681487,OGDX07912405134382
1/29/2024,李娜,星际旅者,两厢,316718.16,邝磊,18154277006,山东省杨县清城长沙街M座 786864,KAPU62580846581108
1/30/2024,李娜,星际旅者,两厢,443423.72,魏璐,15782959960,江西省上海县静安马街k座 326421,WKAA03337660131446
1/31/2024,张伟,星际旅者,SUV,376679.01,孙成,18121965847,甘肃省东莞市涪城北京街e座 500776,ZXZN05147402147586
2/3/2024,王力宏,极速光年,SUV,381862.54,吴丹,15812159100,湖南省浩市孝南兰州街r座 401878,LAIM00277886809685
2/4/2024,李娜,极速光年,两厢,367465.87,窦凤兰,14538190597,山东省呼和浩特市黄浦福州街E座 913649,XEYB45597379225921
2/5/2024,张伟,星际旅者,三厢,381637.86,张霞,13776704042,四川省巢湖市朝阳潜江街a座 481337,GMQA18057539989122
2/5/2024,赵丽颖,极速光年,三厢,449172.17,张飞,18898568518,安徽省长春市丰都福州路k座 642146,POOV30273132167906
2/6/2024,李娜,极速光年,两厢,332424.08,赵桂英,15076902913,天津市玉县合川太原路A座 902415,ZOYV42749543820737
2/7/2024,李娜,极速光年,两厢,427399.67,刘玉英,18246498651,广东省辽阳县丰都广州街G座 981275,JMZF27812337996444
2/7/2024,李娜,星际旅者,三厢,423118.1,李建华,18706230608,甘肃省马鞍山县高坪杭州街k座 807682,KIMC42688711822590
2/9/2024,张伟,极速光年,SUV,311374.57,龚小红,13656545540,山西省成都市锡山魏街l座 519354,BKUZ52406613473100
2/11/2024,陈奕迅,极速光年,SUV,379635.97,杨雪梅,14572497680,上海市瑞市城东成都街v座 497964,DPYA08128661855844
2/12/2024,张伟,极速光年,两厢,320898.54,刘秀芳,15980824033,山东省红霞市沙湾济南路o座 480481,JILX98971808391599
2/12/2024,张伟,星际旅者,两厢,359842.05,白艳,18631159827,河南省红霞市平山贵阳街U座 186588,JQRA43981322158573
2/13/2024,陈奕迅,极速光年,三厢,236847.16,刘娜,14566150146,台湾省婷市上街沈阳街B座 213694,EAYE82031538595149
2/14/2024,张伟,极速光年,两厢,458688.32,郭丽丽,13561199356,内蒙古自治区琳县海陵吴街I座 948401,KAYU47974536505975
2/14/2024,李娜,极速光年,三厢,278586.8,王龙,13388630744,浙江省马鞍山县和平李路s座 539504,DYZD72625354892418
2/15/2024,李娜,未来风,三厢,314158.85,黄军,13507746360,青海省艳县高明刘街p座 706072,XCCN95050157198607
2/15/2024,王力宏,速度霸王,两厢,327979.46,宫东,15000557548,台湾省辛集县花溪陈街S座 399016,QLCC53262374516956
2/16/2024,张伟,未来风,SUV,225206.49,王淑珍,15317392023,宁夏回族自治区静县西峰永安路n座 346008,SIUZ50638979311751
2/16/2024,张伟,星际旅者,三厢,219311.82,傅佳,18599660251,江西省杭州市吉区荆门路w座 250803,IRLQ60040672489587
2/17/2024,王力宏,星际旅者,两厢,210281.69,李秀荣,13299795046,四川省玉华县高明邱街F座 547770,ZAWH53969722412536
2/17/2024,赵丽颖,星际旅者,两厢,440329.74,周杨,14774098780,山西省福州县大东白街s座 272374,VNAR79484753462563
2/18/2024,王力宏,速度霸王,三厢,381987.33,郑波,18744302840,四川省阜新市和平昆明街V座 501001,AJGG55289990350861
2/19/2024,赵丽颖,星际旅者,三厢,448883.72,张兵,13224819869,陕西省玉兰市金平鞠路y座 818069,MHSB90860704569683
2/19/2024,赵丽颖,极速光年,三厢,486163.5,李霞,13597480651,山西省银川市锡山张家港路J座 713181,ZETP34400338170285
2/21/2024,张伟,极速光年,SUV,273276,邹桂荣,13164264290,宁夏回族自治区丹丹县大东张街G座 288606,KKDP18035276592782
2/22/2024,李娜,光辉岁月,三厢,426469.16,欧建,13871724651,上海市兵市崇文刘街p座 223017,FLZU66139762131299
2/23/2024,李娜,星际旅者,SUV,420694.35,王玉兰,15987949081,陕西省邯郸县普陀施路S座 110535,HFWW45446983713129
2/24/2024,张伟,光辉岁月,两厢,296815.93,许建军,13416785828,海南省宜都县朝阳通辽街P座 995036,UUAJ96289951992063
2/26/2024,李娜,星际旅者,三厢,287957.75,汤俊,13323884473,香港特别行政区兴安盟县上街翟街C座 649332,MDVG65131932798859
2/27/2024,赵丽颖,梦幻逸行,SUV,211201.94,吴丽,15398312925,内蒙古自治区银川县牧野合肥街v座 581147,VIKG37070919961250
2/27/2024,张伟,星际旅者,三厢,307791.67,龚杨,18172051684,海南省佛山市清河姚路S座 352429,OTIH70922271651197
2/28/2024,赵丽颖,速度霸王,SUV,371235.96,陈杨,18185507104,湖北省杰县海陵马路I座 254132,DTVV88007213771954
2/28/2024,王力宏,极速光年,SUV,408198.87,陈想,18795755151,四川省冬梅市大兴郑路S座 343625,KFOP44185727081613
